Informazioni cronologiche,Indica la tua fascia d'età,Usi un dispositivo Android o iOS?,Hai utilizzato mezzi pubblici recentemente?,Con quale frequenza utilizzi i mezzi pubblici?,In quale provincia prendi principalmente i mezzi?,Indica quali tra i seguenti mezzi hai usato,"Secondo te, quali di questi disservizi impattano di più sulla qualità del trasporto pubblico?",Quali di queste applicazioni di mobilità hai utilizzato nell'ultima settimana?,Quanto reputi affidabili le informazioni circa la mobilità fornite dalle app che usi?,"Quanto pensi che l'aggiunta di informazioni provenienti da altri utenti possa migliorare l'esperienza di un'app di mobilità? (Segnalazione di autovelox, ritardi su una linea, traffico, etc...)",Quanto ti piacerebbe aiutare altri utenti fornendo informazioni sulla mobilità?,"Salito su un mezzo pubblico, condivideresti (anonimamente) la tua posizione per aiutare un'app a fornire informazioni ad altri utenti?",Come preferiresti segnalare la tua salita sul mezzo pubblico?,Quanto ti interesserebbe una classifica degli utenti che hanno segnalato più ritardi?,"Quanto ti interesserebbe sbloccare nuovi modi di partecipare alla community in base alla partecipazione? (moderazione, reazioni ad altri utenti)","Se segnalare ritardi ti permettesse di sbloccare elementi di customizzazione (Avatar, modifiche estetiche, etc...), saresti invogliato a partecipare di più?",Se ogni minuto di ritardo segnalato corrispondesse ad una donazione a un'organizzazione non-profit di tua scelta: saresti invogliato a partecipare di più?,Hai suggerimenti?
01/05/2023 16.03.48,18-25,Android,Si,Almeno una volta a settimana,Roma,"Metro, Treno, Tram, Bus","Ritardi, Irregolarità del servizio, Scarsa accessibilità, Sovraffollamento dei mezzi","Moovit, Google Maps",4,4,2,Si,Tramite un bottone in-app,0,2,0,3,
01/05/2023 16.06.23,18-25,Android,Si,Almeno una volta a settimana,Trieste,"Bus, Treno","Ritardi, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,3,4,3,No,,0,0,3,0,
01/05/2023 16.12.13,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Metro, Treno, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Moovit, My Cicero (MooneyGo)",3,3,3,Si,Automaticamente grazie alla geolocalizzazione,1,1,0,3,
01/05/2023 16.17.09,18-25,iOS,No,,,,,,,,,,,,,,,
01/05/2023 16.18.40,18-25,Android,Si,Almeno una volta al giorno,Napoli,"Treno, Bus","Ritardi, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,4,3,Si,"Tramite un bottone in-app, Automaticamente grazie alla geolocalizzazione",5,0,0,5,
01/05/2023 16.33.57,18-25,Android,Si,Almeno una volta al giorno,Torino,Tram,Irregolarità del servizio,Google Maps,2,2,2,Si,Tramite un bottone in-app,0,0,3,4,
01/05/2023 16.41.20,18-25,Android,Si,Almeno una volta al giorno,Salerno,"Treno, Bus, Metro","Ritardi, Irregolarità del servizio, Mancanza di copertura, Sovraffollamento dei mezzi","Moovit, Google Maps, UnicoCampania",4,5,3,Si,Tramite un bottone in-app,2,4,5,3,
01/05/2023 16.55.34,18-25,Android,No,,,,,,,,,,,,,,,
01/05/2023 16.56.12,18-25,Android,Si,Almeno una volta al giorno,Napoli,Treno,"Ritardi, Irregolarità del servizio, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,4,3,Si,Automaticamente grazie alla geolocalizzazione,2,2,2,3,No
01/05/2023 16.58.55,18-25,Android,No,,,,,,,,,,,,,,,
01/05/2023 17.00.07,18-25,iOS,Si,Almeno una volta al mese,Milano,"Treno, Metro, Tram","Ritardi, Sovraffollamento dei mezzi","Moovit, Google Maps, Waze",4,5,5,Si,Tramite un bottone in-app,0,0,0,5,
01/05/2023 17.10.06,18-25,iOS,Si,Almeno una volta a settimana,Verona,"Treno, Bus",Nessuno tra questi,"Google Maps, Moovit",4,2,0,Si,"Automaticamente grazie alla geolocalizzazione, Scannerizzando un QR code sul mezzo",0,0,0,3,
01/05/2023 18.24.28,18-25,Android,Si,Almeno una volta al giorno,Torino,"Tram, Bus, Metro","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi",Google Maps,3,5,4,No,,0,2,3,3,
01/05/2023 18.52.44,18-25,Android,Si,Almeno una volta al giorno,Pavia,"Bus, Tram, Metro, Treno","Ritardi, Sovraffollamento dei mezzi","Google Maps, Moovit",4,3,3,No,,5,3,3,5,
01/05/2023 18.55.59,35-55,Android,No,,,,,,,,,,,,,,,
01/05/2023 18.58.33,25-35,Android,Si,Almeno una volta a settimana,Trento,"Bus, Treno",Nessuno tra questi,Google Maps,4,4,3,No,,0,0,0,5,
01/05/2023 18.59.05,18-25,Android,Si,Almeno una volta al mese,Napoli,"Treno, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi",Google Maps,4,3,5,Si,Tramite un bottone in-app,4,3,3,5,
01/05/2023 19.01.17,18-25,iOS,Si,Almeno una volta al giorno,Pisa,Bus,"Ritardi, Irregolarità del servizio","Google Maps, Moovit",5,4,4,Si,Automaticamente grazie alla geolocalizzazione,4,4,4,4,Segnalare la presenza di controllori
01/05/2023 19.01.38,18-25,iOS,Si,Almeno una volta al giorno,Roma,"Metro, Tram, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Google Maps, Moovit",3,5,4,No,,4,5,2,4,
01/05/2023 19.01.40,18-25,iOS,Si,Almeno una volta al mese,Milano,Bus,"Ritardi, Sovraffollamento dei mezzi",Google Maps,4,4,3,Si,Scannerizzando un QR code sul mezzo,1,1,0,4,
01/05/2023 19.02.45,18-25,Android,Si,Almeno una volta al giorno,Roma,"Bus, Metro, Tram, Treno","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Google Maps, Moovit",4,5,5,Si,"Scannerizzando un QR code sul mezzo, Tramite un bottone in-app, Automaticamente grazie alla geolocalizzazione",4,5,5,5,mettere il GPS nell'autobus
01/05/2023 19.03.11,18-25,Android,Si,Almeno una volta al giorno,Roma,"Tram, Treno, Bus, Metro","Ritardi, Sovraffollamento dei mezzi","Moovit, Google Maps",4,5,4,No,,4,5,4,5,
01/05/2023 19.04.11,18-25,Android,Si,Almeno una volta a settimana,,"Metro, Bus, Tram","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi",Google Maps,4,5,3,Si,Scannerizzando un QR code sul mezzo,3,1,0,5,
01/05/2023 19.07.16,18-25,Android,Si,Almeno una volta a settimana,Roma,Bus,"Ritardi, Irregolarità del servizio",Google Maps,5,3,2,No,,3,2,3,5,None
01/05/2023 19.08.07,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Treno, Metro, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Maps (Apple), Waze",4,4,2,Si,Tramite un bottone in-app,3,1,5,5,
01/05/2023 19.08.24,18-25,Android,Si,Almeno una volta a settimana,Roma,"Bus, Metro","Mancanza di copertura, Sovraffollamento dei mezzi","Google Maps, Moovit",4,4,3,Si,Automaticamente grazie alla geolocalizzazione,0,4,1,4,
01/05/2023 19.08.45,18-25,Android,Si,Almeno una volta al giorno,,"Treno, Bus","Ritardi, Sovraffollamento dei mezzi",Google Maps,3,4,5,Si,Automaticamente grazie alla geolocalizzazione,2,3,3,4,
01/05/2023 19.10.45,18-25,Android,Si,Almeno una volta a settimana,Cagliari,"Treno, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi",Google Maps,5,3,3,Si,Automaticamente grazie alla geolocalizzazione,3,3,2,5,No cl
01/05/2023 19.11.38,18-25,iOS,Si,Almeno una volta al giorno,Roma,"Metro, Tram, Bus","Ritardi, Irregolarità del servizio, Mancanza di copertura, Scarsa accessibilità, Sovraffollamento dei mezzi","Google Maps, Maps (Apple)",3,2,5,Si,"Tramite un bottone in-app, Automaticamente grazie alla geolocalizzazione",5,5,4,3,
01/05/2023 19.14.02,18-25,Android,Si,Almeno una volta al mese,,Metro,"Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,5,3,No,,0,3,0,4,
01/05/2023 19.14.57,18-25,Android,Si,Almeno una volta al giorno,Bologna,"Bus, Metro, Treno","Ritardi, Irregolarità del servizio",Google Maps,5,5,5,No,,0,3,2,5,
01/05/2023 19.20.40,18-25,Android,Si,Almeno una volta al giorno,Roma,"Bus, Metro","Ritardi, Irregolarità del servizio","Google Maps, Moovit",4,4,4,Si,Tramite un bottone in-app,0,0,1,5,
01/05/2023 19.21.40,18-25,Android,Si,Almeno una volta al giorno,Roma,"Treno, Bus, Metro, Tram","Irregolarità del servizio, Mancanza di copertura","ProBus, Google Maps",3,4,4,Si,Tramite un bottone in-app,0,2,2,5,
01/05/2023 19.33.31,<18,iOS,Si,Almeno una volta al mese,Pozzuoli,Metro,"Ritardi, Sovraffollamento dei mezzi","Google Maps, Maps (Apple)",5,5,2,Si,Tramite un bottone in-app,2,3,5,5,
01/05/2023 19.35.53,18-25,iOS,Si,Meno di una volta al mese,Roma,"Metro, Treno","Ritardi, Sovraffollamento dei mezzi, poca sicurezza",,,,,,,,,,,
01/05/2023 19.39.43,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Metro, Treno","Ritardi, Mancanza di copertura, Sicurezza",Google Maps,4,4,4,No,,3,2,1,4,
01/05/2023 19.40.50,18-25,Android,Si,Almeno una volta al giorno,Roma,"Metro, Bus, Treno","Ritardi, Irregolarità del servizio, Mancanza di copertura",Google Maps,3,5,4,No,,0,2,0,4,Avere più corrispondenze tra autobus-treni
01/05/2023 19.41.51,18-25,iOS,Si,Almeno una volta al giorno,Napoli,"Metro, Treno","Ritardi, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,4,3,No,,3,2,2,4,
01/05/2023 19.42.06,18-25,Android,Si,Almeno una volta al giorno,Napoli,"Bus, Metro",Assenza di corse notturne,Google Maps,4,1,1,Si,Automaticamente grazie alla geolocalizzazione,0,0,0,2,
01/05/2023 19.44.02,18-25,Android,Si,Almeno una volta al giorno,Roma,"Bus, Treno, Metro","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Maps (Apple), My Cicero (MooneyGo), Moovit, Google Maps",4,4,2,Si,Tramite un bottone in-app,3,4,2,5,
01/05/2023 19.44.48,18-25,Android,Si,Almeno una volta al giorno,Roma,Tram,"Ritardi, Irregolarità del servizio",Google Maps,3,4,2,Si,Scannerizzando un QR code sul mezzo,3,2,3,4,
01/05/2023 19.45.16,18-25,iOS,Si,Almeno una volta al giorno,Roma,"Metro, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Waze, Moovit",4,5,3,Si,Automaticamente grazie alla geolocalizzazione,0,0,0,4,
01/05/2023 19.46.17,18-25,iOS,Si,Almeno una volta al giorno,Roma,"Treno, Tram, Bus","Irregolarità del servizio, Sovraffollamento dei mezzi","Moovit, Google Maps",5,5,3,No,,5,3,0,5,
01/05/2023 19.46.55,18-25,Android,Si,Almeno una volta al mese,Caserta,Treno,"Ritardi, Irregolarità del servizio, Mancanza di copertura",Google Maps,4,5,5,Si,Tramite un bottone in-app,0,0,0,5,
